bridgeId,name,state,region,lga,assetOwner,assetClass,structureType,material,yearBuilt,spanLengthM,deckWidthM,totalLengthM,numberOfSpans,numberOfLanes,clearanceHeightM,latitude,longitude,postingStatus,condition,conditionRating,conditionScore,nhvrRouteAssessed,operationalStatus,criticality,inspectionDate,aadtVehicles,remarks,maintenanceAuthority,designLoad,nhvrRef,sourceRefURL
B00019,Stockton Bridge,NSW,Stockton,City of Newcastle,TfNSW,BRIDGE,Concrete Girder,Prestressed Concrete,1971,52.0,18.0,1252.0,25,4,,-32.8833,151.7639,UNRESTRICTED,FAIR,5,,true,OPERATIONAL,STANDARD,2024-04-12,,Road: Fullerton Street; Route No: SR105; Class: State Road; Heritage listed; Longest road bridge in Newcastle area; Tier: Tier 1; Speed: 70 km/h; Waterway: Hunter River; Source: Transport for NSW,,T44,,
B00020,Grafton Bridge (Old),NSW,Grafton,Clarence Valley,TfNSW,BRIDGE,Steel Truss,Steel,1932,40.0,7.3,275.0,7,1,6.1,-29.6894,152.9317,UNRESTRICTED,FAIR,5,,true,OPERATIONAL,STANDARD,2024-02-28,,Road: Pacific Highway / Clarence Street; Route No: NR1; Class: National Highway; Heritage listed; Heritage bridge - now one-way southbound; Tier: Tier 2; Speed: 40 km/h; Waterway: Clarence River; Source: Transport for NSW,,MS18,,
B00021,Grafton Bridge (New),NSW,Grafton,Clarence Valley,TfNSW,BRIDGE,Concrete Box Girder,Prestressed Concrete,2022,48.0,22.0,510.0,11,4,,-29.6897,152.9322,UNRESTRICTED,GOOD,9,,true,OPERATIONAL,STANDARD,2024-02-28,,Road: Pacific Highway; Route No: NR1; Class: National Highway; Heritage listed; New second crossing opened 2022; Tier: Tier 1; Speed: 80 km/h; Waterway: Clarence River; Source: Transport for NSW,,SM1600,,
B00022,Harwood Bridge,NSW,Harwood,Clarence Valley,TfNSW,BRIDGE,Steel Truss with Lift Span,Steel,1966,55.0,8.5,500.0,10,2,8.0,-29.4269,153.2139,UNRESTRICTED,FAIR,5,,true,OPERATIONAL,STANDARD,2024-08-10,,Road: Pacific Highway; Route No: NR1; Class: National Highway; Heritage listed; Lift span bridge with height restriction; Tier: Tier 2; Speed: 60 km/h; Waterway: Clarence River; Source: Transport for NSW,,T44,,
B00023,Tom Uglys Bridge,NSW,Blakehurst/Sylvania,Georges River,TfNSW,BRIDGE,Concrete Box Girder,Prestressed Concrete,1929,64.0,24.0,300.0,5,4,,-33.9978,151.1072,UNRESTRICTED,GOOD,7,,true,OPERATIONAL,STANDARD,2024-06-10,,Road: Rocky Point Road / Princes Highway; Route No: HW1; Class: State Highway; Heritage listed; Dual bridges - original 1929 + parallel 1987; Tier: Tier 1; Speed: 70 km/h; Waterway: Georges River; Source: Transport for NSW,,T44,,
B00024,Captain Cook Bridge,NSW,Taren Point,Sutherland,TfNSW,BRIDGE,Steel Truss,Steel,1965,64.0,18.0,320.0,6,4,,-34.0053,151.12,UNRESTRICTED,GOOD,7,,true,OPERATIONAL,STANDARD,2024-06-10,,Road: Taren Point Road; Route No: SR89; Class: State Road; Heritage listed; Major arterial - connects Sutherland to St George; Tier: Tier 1; Speed: 70 km/h; Waterway: Georges River; Source: Transport for NSW,,T44,,
B00025,Spit Bridge,NSW,Mosman/Seaforth,Mosman,TfNSW,BRIDGE,Concrete Girder with Opening Span,Concrete/Steel,1958,64.0,12.0,240.0,4,2,6.0,-33.8014,151.2497,UNRESTRICTED,FAIR,5,,true,OPERATIONAL,STANDARD,2024-07-15,,Road: Spit Road; Route No: MR157; Class: Main Road; Heritage listed; Opening span for vessel passage - periodic closures; Tier: Tier 2; Speed: 60 km/h; Waterway: Middle Harbour; Source: Transport for NSW,,T44,,
B00026,Warragamba Dam Bridge,NSW,Warragamba,Wollondilly,WaterNSW / Wollondilly Council,BRIDGE,Concrete Slab,Reinforced Concrete,1960,16.0,7.5,45.0,3,2,,-33.8833,150.6,UNRESTRICTED,FAIR,5,,false,OPERATIONAL,STANDARD,2024-02-20,,Road: Warragamba Dam Road; Route No: LR; Class: Local Road; Council load limit applies; Tier: Tier 2; Speed: 50 km/h; Waterway: Warragamba River; Source: Wollondilly Shire Council,,T44,,
B00027,Luskintyre Bridge,NSW,Luskintyre,Maitland,Maitland City Council,BRIDGE,Allan Timber Truss,Timber,1901,20.0,5.5,75.0,4,1,5.0,-32.6917,151.4583,POSTED,FAIR,5,,false,OPERATIONAL,STANDARD,2024-05-25,,Road: Luskintyre Road; Route No: LR; Class: Local Road; Heritage listed; Heritage timber truss - Allan type; Tier: Tier 3; Speed: 40 km/h; Waterway: Hunter River; Source: Heritage Register / Maitland Council,,Pre-standard,,
B00028,Lansdowne Bridge,NSW,Lansvale,Liverpool,Liverpool City Council,BRIDGE,Sandstone Arch,Stone,1836,34.0,8.0,34.0,1,2,,-33.9017,150.9333,POSTED,FAIR,5,,false,OPERATIONAL,STANDARD,2024-09-12,,Road: Great Western Highway (Historic); Route No: LR; Class: Local Road; Heritage listed; Oldest bridge in mainland Australia - State Heritage Register; Tier: Tier 3; Speed: 20 km/h; Waterway: Prospect Creek; Source: Heritage Register / Liverpool Council,,Pre-standard,,
B00029,Clarence Town Bridge,NSW,Clarence Town,Dungog,Dungog Shire Council,BRIDGE,De Burgh Timber Truss,Timber,1926,22.0,5.5,65.0,3,1,4.8,-32.5833,151.775,POSTED,POOR,3,,false,OPERATIONAL,STANDARD,2024-07-10,,Road: Clarence Town Road; Route No: LR; Class: Local Road; Heritage listed; Heritage timber truss - De Burgh type; Tier: Tier 3; Speed: 40 km/h; Waterway: Williams River; Source: Heritage Register / Dungog Council,,Pre-standard,,
B00030,Rossi Bridge (Tumut River),NSW,Tumut,Snowy Valleys,TfNSW,BRIDGE,Concrete Girder,Reinforced Concrete,1970,25.0,10.0,95.0,4,2,,-35.3003,148.2125,UNRESTRICTED,GOOD,7,,true,OPERATIONAL,STANDARD,2024-08-05,,Road: Snowy Mountains Highway; Route No: HW4; Class: State Highway; Regional highway bridge - upgraded 2015; Tier: Tier 1; Speed: 100 km/h; Waterway: Tumut River; Source: Transport for NSW,,T44,,
B08452,NB VIADUCT PPLNK BRIDGE,NSW,Taree,Hunter Precinct,TfNSW,BRIDGE,Viaduct,Prestressed Concrete,,,,,,,2.19,-31.9218,152.51055,UNRESTRICTED,,,,false,OPERATIONAL,STANDARD,,,Road: GREATER TAREE LGA; Route No: SR9999426; Class: State Road; Waterway: Flood Channel; Source: TfNSW Vertical Clearances Oct 2023,,,,
B00965,VICTORIA  BRIDGE,NSW,Picton,Southern Precint,TfNSW,BRIDGE,Timber Beam,Timber,,,,,,,2.4,-34.1802,150.61091,UNRESTRICTED,,,,false,OPERATIONAL,STANDARD,,,Road: PRINCE STREET; Route No: SR4960324; Class: State Road; Waterway: Stonequarry Creek; Source: TfNSW Vertical Clearances Oct 2023,,,,
B10592,SB BRIDGE ON SH10,NSW,Grafton,Northern Precinct,TfNSW,BRIDGE,Bridge,Unknown,,,,,,,2.4,-28.83202,153.52971,UNRESTRICTED,,,,false,OPERATIONAL,STANDARD,,,Road: BALLINA LGA; Route No: SR9999023; Class: State Road; Waterway: Emigrant Ck North; Source: TfNSW Vertical Clearances Oct 2023,,,,
B10591,NB BRIDGE ON SH10,NSW,Grafton,Northern Precinct,TfNSW,BRIDGE,Bridge,Unknown,,,,,,,2.45,-28.83197,153.5295,UNRESTRICTED,,,,false,OPERATIONAL,STANDARD,,,Road: BALLINA LGA; Route No: SR9999023; Class: State Road; Waterway: Emigrant Ck North; Source: TfNSW Vertical Clearances Oct 2023,,,,
B01852,OLD KEMPSEY BRIDGE,NSW,Th Kempsey,Northern Precinct,TfNSW,BRIDGE,Bridge,Unknown,,,,,,,2.5,-31.0818,152.8449,UNRESTRICTED,,,,false,OPERATIONAL,STANDARD,,,Road: KEMPSEY LGA; Route No: SR9999235; Class: State Road; Waterway: Macleay River; Source: TfNSW Vertical Clearances Oct 2023,,,,
B08779,S/B PPLNK VICDUCT BRIDGE,NSW,Taree,Hunter Precinct,TfNSW,BRIDGE,Bridge,Unknown,,,,,,,2.51,-31.9219,152.51055,UNRESTRICTED,,,,false,OPERATIONAL,STANDARD,,,Road: GREATER TAREE LGA; Route No: SR9999426; Class: State Road; Waterway: Flood Channel; Source: TfNSW Vertical Clearances Oct 2023,,,,
B01800,MARTIN BRIDGE,NSW,Taree,Hunter Precinct,TfNSW,BRIDGE,Steel Truss,Steel,,,,,,,2.82,-31.91969,152.46098,UNRESTRICTED,,,,false,OPERATIONAL,STANDARD,,,Road: GREATER TAREE LGA; Route No: SR9999426; Class: State Road; Waterway: Manning River; Source: TfNSW Vertical Clearances Oct 2023,,,,
B09527,BOTANIC GARDENS UNDERPASS,NSW,Th Ballina,Northern Precinct,TfNSW,BRIDGE,Underpass,Reinforced Concrete,,,,,,,2.9,-28.3083,153.5143,UNRESTRICTED,,,,false,OPERATIONAL,STANDARD,,,Road: TWEED LGA; Route No: SR9999438; Class: State Road; Waterway: Culvert Under Sh10; Source: TfNSW Vertical Clearances Oct 2023,,,,
B02151,HARWOOD BRIDGE,NSW,Th Grafton,Northern Precinct,TfNSW,BRIDGE,Bridge,Unknown,,,,,,,3.0,-29.43438,153.24071,UNRESTRICTED,,,,false,OPERATIONAL,STANDARD,,,Road: MACLEAN LGA; Route No: SR9999274; Class: State Road; Waterway: Clarence River; Source: TfNSW Vertical Clearances Oct 2023,,,,
B02166,WARDELL BRIDGE,NSW,Th Ballina,Northern Precinct,TfNSW,BRIDGE,Steel Truss with Lift Span,Steel,,,,,,,3.0,-28.95492,153.46509,UNRESTRICTED,,,,false,OPERATIONAL,STANDARD,,,Road: BALLINA LGA; Route No: SR9999023; Class: State Road; Waterway: Richmond River; Source: TfNSW Vertical Clearances Oct 2023,,,,
B12073,TWIN BRIDGE HW10,NSW,Harwood,Northern Precinct,TfNSW,BRIDGE,Bridge,Unknown,,,,,,,3.1,-29.43639,153.24094,UNRESTRICTED,,,,false,OPERATIONAL,STANDARD,,,Road: MACLEAN LGA; Route No: SR9999274; Class: State Road; Waterway: Clarence River; Source: TfNSW Vertical Clearances Oct 2023,,,,
B01614,WATKINS BRIDGE,NSW,Toronto,Hunter Precinct,TfNSW,BRIDGE,Prestressed Concrete Girder,Prestressed Concrete,,,,,,,3.3,-32.95886,151.61542,UNRESTRICTED,,,,false,OPERATIONAL,STANDARD,,,Road: LAKE MACQUARIE LGA; Route No: SR9999252; Class: State Road; Waterway: Cockle Ck North Arm; Source: TfNSW Vertical Clearances Oct 2023,,,,
B09960,N/B PSUTG BRIDGE,NSW,Th Toronto,Hunter Precinct,TfNSW,BRIDGE,Prestressed Concrete Girder,Prestressed Concrete,,,,,,,3.3,-32.95963,151.61387,UNRESTRICTED,,,,false,OPERATIONAL,STANDARD,,,Road: LAKE MACQUARIE LGA; Route No: SR9999252; Class: State Road; Waterway: North Arm Cockle Ck; Source: TfNSW Vertical Clearances Oct 2023,,,,
B03426,BRIDGE ON SH11,NSW,Tamworth Cbd,Northern Precinct,TfNSW,BRIDGE,Bridge,Unknown,,,,,,,3.3,-31.09122,150.92712,UNRESTRICTED,,,,false,OPERATIONAL,STANDARD,,,Road: Unknown; Route No: LR; Class: Local Road; Waterway: Peel River; Source: TfNSW Vertical Clearances Oct 2023,,,,
B01603,SGIRD  BRIDGE,NSW,Morriset,Hunter Precinct,TfNSW,BRIDGE,Steel Girder,Steel,,,,,,,3.31,-33.08553,151.5003,UNRESTRICTED,,,,false,OPERATIONAL,STANDARD,,,Road: LAKE MACQUARIE LGA; Route No: SR9999252; Class: State Road; Waterway: Dora Ck; Source: TfNSW Vertical Clearances Oct 2023,,,,
B01378,HEXHAM BRIDGE,NSW,Hexham,Hunter Precinct,TfNSW,BRIDGE,Steel Truss,Steel,,,,,,,3.36,-32.82439,151.68495,UNRESTRICTED,,,,false,OPERATIONAL,STANDARD,,,Road: NEWCASTLE LGA; Route No: SR9999325; Class: State Road; Waterway: Hunter River; Source: TfNSW Vertical Clearances Oct 2023,,,,
B01782,GRAHAM BRIDGE,NSW,Maryville,Hunter Precinct,TfNSW,BRIDGE,Concrete Girder,Reinforced Concrete,,,,,,,3.37,-32.9087,151.75241,UNRESTRICTED,,,,false,OPERATIONAL,STANDARD,,,Road: NEWCASTLE LGA; Route No: SR9999325; Class: State Road; Waterway: Throsby Creek; Source: TfNSW Vertical Clearances Oct 2023,,,,
B04195,OXLEY BRIDGE,NSW,W Forbes,West Region,TfNSW,BRIDGE,Concrete Girder,Reinforced Concrete,,,,,,,3.4,-33.39017,148.00613,UNRESTRICTED,,,,false,OPERATIONAL,STANDARD,,,Road: Local Road; Route No: SR9999999; Class: State Road; Waterway: Lake Forbes; Source: TfNSW Vertical Clearances Oct 2023,,,,
B01362,WYONG RIVER,NSW,Gosford,Hunter Precinct,TfNSW,BRIDGE,Steel Girder,Steel,,,,,,,3.42,-33.29113,151.42379,UNRESTRICTED,,,,false,OPERATIONAL,STANDARD,,,Road: Unknown; Route No: LR; Class: Local Road; Waterway: Wyong River; Source: TfNSW Vertical Clearances Oct 2023,,,,
B01484,IRRAWANG BRIDGE,NSW,R' Terrace,Hunter Precinct,TfNSW,BRIDGE,Prestressed Concrete Girder,Prestressed Concrete,,,,,,,3.49,-32.75128,151.72837,UNRESTRICTED,,,,false,OPERATIONAL,STANDARD,,,Road: Unknown; Route No: LR; Class: Local Road; Waterway: Hunter River; Source: TfNSW Vertical Clearances Oct 2023,,,,
B02323,2.68KM NTH SH12,NSW,Grafton,Northern Precinct,TfNSW,BRIDGE,Bridge,Unknown,,,,,,,3.5,-29.68869,152.93529,UNRESTRICTED,,,,false,OPERATIONAL,STANDARD,,,Road: GRAFTON LGA; Route No: SR9999173; Class: State Road; Waterway: Prince Street; Source: TfNSW Vertical Clearances Oct 2023,,,,
B11814,SB BRIDGE ON SH10,NSW,Th Coffs Harbour,Northern Precinct,TfNSW,BRIDGE,Bridge,Unknown,,,,,,,3.76,-29.72066,153.1266,UNRESTRICTED,,,,false,OPERATIONAL,STANDARD,,,Road: ULMARRA LGA; Route No: SR9999450; Class: State Road; Waterway: Nth Pillar Valley Ck #1; Source: TfNSW Vertical Clearances Oct 2023,,,,
B11813,NB BRIDGE ON SH10,NSW,Th Coffs Harbour,Northern Precinct,TfNSW,BRIDGE,Bridge,Unknown,,,,,,,3.76,-29.72062,153.12642,UNRESTRICTED,,,,false,OPERATIONAL,STANDARD,,,Road: ULMARRA LGA; Route No: SR9999450; Class: State Road; Waterway: North Of Pillar Creek #1; Source: TfNSW Vertical Clearances Oct 2023,,,,
B11816,SB BRIDGE ON SH10,NSW,Th Coffs Harbour,Northern Precinct,TfNSW,BRIDGE,Bridge,Unknown,,,,,,,3.76,-29.71144,153.12636,UNRESTRICTED,,,,false,OPERATIONAL,STANDARD,,,Road: ULMARRA LGA; Route No: SR9999450; Class: State Road; Waterway: North Pillar Creek #2; Source: TfNSW Vertical Clearances Oct 2023,,,,
B11815,NB BRIDGE ON SH10,NSW,Th Coffs Harbour,Northern Precinct,TfNSW,BRIDGE,Bridge,Unknown,,,,,,,3.76,-29.71149,153.12618,UNRESTRICTED,,,,false,OPERATIONAL,STANDARD,,,Road: ULMARRA LGA; Route No: SR9999450; Class: State Road; Waterway: Nth Pillar Creek #2; Source: TfNSW Vertical Clearances Oct 2023,,,,
B08639,BRIDGE ON SH10 N/B,NSW,Raleigh Deviation,Northern Precinct,TfNSW,BRIDGE,Bridge,Unknown,,,,,,,3.8,-30.4444,153.0094,UNRESTRICTED,,,,false,OPERATIONAL,STANDARD,,,Road: BELLINGEN LGA; Route No: SR9999033; Class: State Road; Waterway: Valery Road; Source: TfNSW Vertical Clearances Oct 2023,,,,
B08456,BRIAN MCGOWAN BDG,NSW,Hornsby,Hunter Precinct,TfNSW,BRIDGE,Prestressed Concrete Girder,Prestressed Concrete,,,,,,,3.88,-33.42828,151.33484,UNRESTRICTED,,,,false,OPERATIONAL,STANDARD,,,Road: Unknown; Route No: LR; Class: Local Road; Waterway: Main Northern Rly; Source: TfNSW Vertical Clearances Oct 2023,,,,
B09102,BRIDGE ON SH10 S/B,NSW,Th. Ballina,Northern Precinct,TfNSW,BRIDGE,Bridge,Unknown,,,,,,,4.0,-28.44157,153.50336,UNRESTRICTED,,,,false,OPERATIONAL,STANDARD,,,Road: TWEED LGA; Route No: SR9999438; Class: State Road; Waterway: Burringbar Creek #1; Source: TfNSW Vertical Clearances Oct 2023,,,,
B10426,LAMBERTS CROSSING,NSW,Th Of Taree,Hunter Precinct,TfNSW,BRIDGE,Bridge,Unknown,,,,,,,4.0,-31.79212,152.64487,UNRESTRICTED,,,,false,OPERATIONAL,STANDARD,,,Road: GREATER TAREE LGA; Route No: SR9999426; Class: State Road; Waterway: Unnamed Creek; Source: TfNSW Vertical Clearances Oct 2023,,,,
B10425,N/B TWIN PPLNK BRIDGE,NSW,Th Of Taree,Hunter Precinct,TfNSW,BRIDGE,Bridge,Unknown,,,,,,,4.0,-31.7921,152.64462,UNRESTRICTED,,,,false,OPERATIONAL,STANDARD,,,Road: GREATER TAREE LGA; Route No: SR9999426; Class: State Road; Waterway: Unnamed Creek; Source: TfNSW Vertical Clearances Oct 2023,,,,
B09101,BRIDGE ON SH10 N/B,NSW,Th Ballina,Northern Precinct,TfNSW,BRIDGE,Bridge,Unknown,,,,,,,4.0,-28.44163,153.50317,UNRESTRICTED,,,,false,OPERATIONAL,STANDARD,,,Road: TWEED LGA; Route No: SR9999438; Class: State Road; Waterway: Burringbar Creek #1; Source: TfNSW Vertical Clearances Oct 2023,,,,
B00212,SOUTHERN RLY BR,NSW,Ashfield,Eastern Habour Zone,TfNSW,BRIDGE,Bridge,Unknown,,,,,,,4.05,-33.88542,151.11943,UNRESTRICTED,,,,false,OPERATIONAL,STANDARD,,,Road: ASHFIELD-ROZELLE; Route No: SR650; Class: State Road; Waterway: Fredrick St (Mr650); Source: TfNSW Vertical Clearances Oct 2023,,,,
B03377,NYAH BRIDGE,NSW,Nyah,South West Precinct,TfNSW,BRIDGE,Bridge,Unknown,,,,,,,4.1,-35.17282,143.39236,UNRESTRICTED,,,,false,OPERATIONAL,STANDARD,,,Road: SPEEWA RD; Route No: SR4690061; Class: State Road; Waterway: Murray River; Source: TfNSW Vertical Clearances Oct 2023,,,,
B05575,BETHANGA BRIDGE,NSW,Hume Reservoir,South West Precinct,TfNSW,BRIDGE,Steel Truss,Steel,,,,,,,4.14,-36.09238,147.06148,UNRESTRICTED,,,,false,OPERATIONAL,STANDARD,,,Road: RIVERINA HIGHWAY; Route No: HW20; Class: State Highway; Waterway: Murray River; Source: TfNSW Vertical Clearances Oct 2023,,,,
