bridgeId,name,region,state,lga,roadRoute,routeNumber,assetOwner,maintenanceAuthority,condition,conditionRating,postingStatus,structureType,material,clearanceHeightM,spanLengthM,totalLengthM,widthM,numberOfSpans,numberOfLanes,latitude,longitude,inspectionDate,yearBuilt,designLoad,nhvrRouteAssessed,gazetteRef,nhvrRef,aadtVehicles,freightRoute,overMassRoute,highPriorityAsset,floodImpacted,scourRisk,sourceRefURL,openDataRef,remarks
NSW-VC-00015,N/B Bridge On F1 Ov Brook St (Sr 2093) at At Narremburn,Eastern Sydney,NSW,Eastern Harbour City,,2093,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,5.45,,,,,,-33.82103,151.2043,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,N/B BRIDGE ON F1 OV BROOK ST (SR 2093) at AT NARREMBURN; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00016,Br On Merrenburn Av Warringah Fwy at At Naremburn,Eastern Sydney,NSW,Eastern Harbour City,,651,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,7.27,,,,,,-33.81902,151.20332,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,BR ON MERRENBURN AV WARRINGAH FWY at AT NAREMBURN; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00029,"Tom Ugly'S Br., N/B",Eastern Sydney,NSW,Eastern Harbour City,,1,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,4.56,,,,,,-34.0011,151.1145,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,ST.TRUSS BRIDGE OVER GEORGE'S RIVER at AT SYLVANIA; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00030,Pedestrian Bridge Princes Hy@Clare St at Sylvania,Eastern Sydney,NSW,Eastern Harbour City,,1,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,4.73,,,,,,-34.0073,151.1114,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,PEDESTRIAN BRIDGE PRINCES HY@CLARE ST at SYLVANIA; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00037,Ped Bridge Ov Sh5 - Parramatta Road at At Sydney Uni.,Eastern Sydney,NSW,Eastern Harbour City,,5,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,4.7,,,,,,-33.8847,151.18748,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,PED BRIDGE OV SH5 - PARRAMATTA ROAD at AT SYDNEY UNI.; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00038,Br On Brown St Ov Parramatta Rd at At Lewisham,Eastern Sydney,NSW,Eastern Harbour City,,5,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,4.91,,,,,,-33.88978,151.14534,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,BR ON BROWN ST OV PARRAMATTA RD at AT LEWISHAM; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00039,Rozll Good Rail Br Parramatta Road at At Lewisham,Eastern Sydney,NSW,Eastern Harbour City,,5,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,4.93,,,,,,-33.88977,151.1453,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,ROZLL GOOD RAIL BR PARRAMATTA ROAD at AT LEWISHAM; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00048,Br On Falcon St (Mr 164) Ov N/B M1 at At Cammeray,Eastern Sydney,NSW,Eastern Harbour City,,651,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,4.98,,,,,,-33.82977,151.21413,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,BR ON FALCON ST (MR 164) OV N/B M1 at AT CAMMERAY; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00049,Br On Falcon St (Mr 164) Ov S/B M1 at At Cammeray,Eastern Sydney,NSW,Eastern Harbour City,,651,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,5.92,,,,,,-33.82985,151.21477,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,BR ON FALCON ST (MR 164) OV S/B M1 at AT CAMMERAY; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00051,Bridge On Ethel St Ov Mr164-Manly Road at At Balgowlah,Eastern Sydney,NSW,Eastern Harbour City,,164,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,5.26,,,,,,-33.79785,151.25225,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,BRIDGE ON ETHEL ST OV MR164-MANLY ROAD at AT BALGOWLAH; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00065,Eb Br On Victoria Rd Ov Iron Cove at At Drummoyne,Eastern Sydney,NSW,Eastern Harbour City,,165,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,4.6,,,,,,-33.86028,151.16372,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,EB BR ON VICTORIA RD OV IRON COVE at AT DRUMMOYNE; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00068,Bridge On Mr 165 Over Mr 166 at At Huntleys Point,Eastern Sydney,NSW,Eastern Harbour City,,166,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,4.94,,,,,,-33.83897,151.14557,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,BRIDGE ON MR 165 OVER MR 166 at AT HUNTLEYS POINT; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00069,Ped Br Ov Victoria Rd & Loading Ramp at At Huntleys Pt,Eastern Sydney,NSW,Eastern Harbour City,,165,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,4.89,,,,,,-33.83871,151.14254,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,PED BR OV VICTORIA RD & LOADING RAMP at AT HUNTLEYS PT; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00076,Pedestrian Bdge Ov Burns Bay Rd at Linley Point,Eastern Sydney,NSW,Eastern Harbour City,,166,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,5.52,,,,,,-33.82672,151.14833,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,PEDESTRIAN BDGE OV BURNS BAY RD at LINLEY POINT; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00080,Ped Br Ov Forest Rd at Bexley,Eastern Sydney,NSW,Eastern Harbour City,,168,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,5.21,,,,,,-33.94708,151.128,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,PED BR OV FOREST RD at BEXLEY; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00085,Rly Br Nr Mcbur Av Botany Rd at Mascot,Eastern Sydney,NSW,Eastern Harbour City,,170,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,4.94,,,,,,-33.93676,151.1945,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,RLY BR NR MCBUR AV BOTANY RD at MASCOT; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00091,"Pedestrian Bridge Ov Mr172-Bondi By-P at At Nelson St,Bon.J.",Eastern Sydney,NSW,Eastern Harbour City,,172,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,5.11,,,,,,-33.88961,151.2429,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,"PEDESTRIAN BRIDGE OV MR172-BONDI BY-P at AT NELSON ST,BON.J.; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023"
NSW-VC-00094,Br On Victoria St Over Mr173 at At Darlinghurst,Eastern Sydney,NSW,Eastern Harbour City,,173,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,4.55,,,,,,-33.87568,151.22185,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,BR ON VICTORIA ST OVER MR173 at AT DARLINGHURST; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00095,Kings Cross Tunnel,Eastern Sydney,NSW,Eastern Harbour City,,173,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,4.55,,,,,,-33.87579,151.22218,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,KINGS CROSS TUNNEL OV WILLIAM ST at KING CROSS; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00096,Bdge On Ward Ave Over Mr173 at At King'S Cross,Eastern Sydney,NSW,Eastern Harbour City,,173,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,4.55,,,,,,-33.87639,151.22444,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,BDGE ON WARD AVE OVER MR173 at AT KING'S CROSS; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00097,Pedestrian Br At Roslyn St at Darlinghurst,Eastern Sydney,NSW,Eastern Harbour City,,173,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,4.54,,,,,,-33.87673,151.22568,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,PEDESTRIAN BR AT ROSLYN ST at DARLINGHURST; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00097-1,Pedestrian Br At Roslyn St at Darlinghurst,Eastern Sydney,NSW,Eastern Harbour City,,6010,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,5.75,,,,,,-33.87673,151.22568,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,PEDESTRIAN BR AT ROSLYN ST at DARLINGHURST; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00097-2,Pedestrian Br At Roslyn St at Darlinghurst,Eastern Sydney,NSW,Eastern Harbour City,,9999412,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,4.71,,,,,,-33.87673,151.22568,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,PEDESTRIAN BR AT ROSLYN ST at DARLINGHURST; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00104,Br On Gardeners Rd Ov Sthrn X Drive at At Eastlakes,Eastern Sydney,NSW,Eastern Harbour City,,593,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,4.74,,,,,,-33.92437,151.21416,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,BR ON GARDENERS RD OV STHRN X DRIVE at AT EASTLAKES; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00114,"Gh Dr Sth Bound Foreshore Rd, Mr617 at Botany",Eastern Sydney,NSW,Eastern Harbour City,,617,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,4.99,,,,,,-33.94464,151.1882,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,"GH DR STH BOUND FORESHORE RD, MR617 at BOTANY; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023"
NSW-VC-00115,Airport Tunnel On Gen.Holmes Drive at At Mascot,Eastern Sydney,NSW,Eastern Harbour City,,194,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,4.52,,,,,,-33.946,151.17743,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,AIRPORT TUNNEL ON GEN.HOLMES DRIVE at AT MASCOT; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00119,Br Ov Mr199 At Woodlands Rd at Taren Point,Eastern Sydney,NSW,Eastern Harbour City,,199,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,4.77,,,,,,-34.01263,151.12545,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,BR OV MR199 AT WOODLANDS RD at TAREN POINT; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00123,Pedestrian Bridge At Sth Hurstville at School,Eastern Sydney,NSW,Eastern Harbour City,,200,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,5.16,,,,,,-33.9721,151.09999,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,PEDESTRIAN BRIDGE AT STH HURSTVILLE at SCHOOL; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00133,Northshore Rail Br Boundary Rd at Roseville,Eastern Sydney,NSW,Eastern Harbour City,,328,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,4.61,,,,,,-33.78716,151.18015,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,NORTHSHORE RAIL BR BOUNDARY RD at ROSEVILLE; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00134,Br On Malga Av Warringah Rd at Roseville Chase,Eastern Sydney,NSW,Eastern Harbour City,,328,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,5.0,,,,,,-33.77521,151.19875,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,BR ON MALGA AV WARRINGAH RD at ROSEVILLE CHASE; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00145,Br On Kooraban St. (Mr393)  Over Sh1 at At Waterfall,Eastern Sydney,NSW,Eastern Harbour City,,1,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,5.18,,,,,,-34.13524,150.99413,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,BR ON KOORABAN ST. (MR393)  OVER SH1 at AT WATERFALL; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00155,Darling Is Good Rly Bridge Rd at Glebe,Eastern Sydney,NSW,Eastern Harbour City,,523,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,4.43,,,,,,-33.87713,151.18773,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,DARLING IS GOOD RLY BRIDGE RD at GLEBE; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00161,Domain Tunnel,Sydney CBD,NSW,Sydney Harbour,,592,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,4.39,,,,,,-33.86297,151.21358,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,CAHILL EXPRESSWAY TUNNEL UNDER BOTANIC GARDEN at CONSERVATORIUM RD; SYDNEY REGION / SHB PRECINCT ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00162,Br On Art Gal'Ry Rd Over Cahill Expwy at At The Domain,Sydney CBD,NSW,Sydney Harbour,,6007,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,4.33,,,,,,-33.86783,151.2173,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,BR ON ART GAL'RY RD OVER CAHILL EXPWY at AT THE DOMAIN; SYDNEY REGION / SHB PRECINCT ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00164,Br On Mr593 - South Dowling St Ov Epsom at Rd At Kensington,Eastern Sydney,NSW,Eastern Harbour City,,9999999,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,4.8,,,,,,-33.91221,151.21286,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,BR ON MR593 - SOUTH DOWLING ST OV EPSOM at RD AT KENSINGTON; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00165,Aus Glf Club Acess Suthern X Dr at Kensington,Eastern Sydney,NSW,Eastern Harbour City,,593,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,5.15,,,,,,-33.91903,151.21119,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,AUS GLF CLUB ACESS SUTHERN X DR at KENSINGTON; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00171,Bridge On Miller St (Mr 599) Ov F.1 at At Cammeray,Eastern Sydney,NSW,Eastern Harbour City,,651,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,4.75,,,,,,-33.82437,151.20995,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,BRIDGE ON MILLER ST (MR 599) OV F.1 at AT CAMMERAY; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00172,Suspension Bridge,Eastern Sydney,NSW,Eastern Harbour City,,599,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,7.17,,,,,,-33.81647,151.21196,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,BR ON STRATHALLEN AVENUE LONG BAY at NORTHBRIDGE; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00181,Botny Goods Rail Br O'Riordan St at Mascot,Eastern Sydney,NSW,Eastern Harbour City,,658,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,4.45,,,,,,-33.9316,151.18623,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,BOTNY GOODS RAIL BR O'RIORDAN ST at MASCOT; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00182,Botny Goods Rail Br Robey St at Mascot,Eastern Sydney,NSW,Eastern Harbour City,,658,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,4.5,,,,,,-33.93095,151.18461,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,BOTNY GOODS RAIL BR ROBEY ST at MASCOT; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
NSW-VC-00194,Southern Rail Br Old Canterbury Rd at Lewisham,Eastern Sydney,NSW,Eastern Harbour City,,652,TfNSW,TfNSW,,,UNRESTRICTED,BEAM,Concrete,4.44,,,,,,-33.89288,151.1459,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,https://data.nsw.gov.au,TfNSW-VC-OCT2023,SOUTHERN RAIL BR OLD CANTERBURY RD at LEWISHAM; SYDNEY REGION / EASTERN HABOUR ZONE; Source: TfNSW State Roads Vertical Clearances Oct 2023
