ID,role,featureKey,featureType,label,visible,editable,sortOrder,featureEnabled,fieldName,fieldVisible,fieldEditable,fieldRequired
rc-ro-addrestriction,READ_ONLY,addRestriction,ACTION,Add Restriction,false,false,3,true,,,,
rc-ro-massupload-action,READ_ONLY,massUpload,ACTION,Mass Upload,false,false,4,true,,,,
rc-admin-vehicleaccess,ADMIN,vehicleaccess,HOME_TILE,Vehicle Access,true,true,9,true,,,,
rc-admin-routeassessment,ADMIN,routeassessment,HOME_TILE,Route Assessment,true,true,10,true,,,,
rc-admin-inspections-tile,ADMIN,inspections,HOME_TILE,Inspections Tile,true,true,11,true,,,,
rc-admin-defects-tile,ADMIN,defects,HOME_TILE,Defects Tile,true,true,12,true,,,,
rc-admin-restrictiontypes,ADMIN,restrictionTypes,HOME_TILE,Restriction Types,true,true,13,true,,,,
rc-admin-vehicletypes,ADMIN,vehicletypes,HOME_TILE,Vehicle Types,true,true,14,true,,,,
rc-admin-risk-tab,ADMIN,risk,TAB,Risk Assessment Tab,true,true,9,true,,,,
rc-admin-investment-tab,ADMIN,investment,TAB,Investment Plan Tab,true,true,10,true,,,,
rc-admin-nhvrload-tab,ADMIN,nhvrload,TAB,NHVR / Load Tab,true,true,11,true,,,,
rc-mgr-vehicleaccess,BRIDGE_MANAGER,vehicleaccess,HOME_TILE,Vehicle Access,true,true,9,true,,,,
rc-mgr-routeassessment,BRIDGE_MANAGER,routeassessment,HOME_TILE,Route Assessment,true,true,10,true,,,,
rc-mgr-inspections-tile,BRIDGE_MANAGER,inspections,HOME_TILE,Inspections Tile,true,true,11,true,,,,
rc-mgr-defects-tile,BRIDGE_MANAGER,defects,HOME_TILE,Defects Tile,true,true,12,true,,,,
rc-mgr-restrictiontypes,BRIDGE_MANAGER,restrictionTypes,HOME_TILE,Restriction Types,false,false,13,true,,,,
rc-mgr-vehicletypes,BRIDGE_MANAGER,vehicletypes,HOME_TILE,Vehicle Types,false,false,14,true,,,,
rc-mgr-risk-tab,BRIDGE_MANAGER,risk,TAB,Risk Assessment Tab,true,true,9,true,,,,
rc-mgr-investment-tab,BRIDGE_MANAGER,investment,TAB,Investment Plan Tab,true,true,10,true,,,,
rc-mgr-nhvrload-tab,BRIDGE_MANAGER,nhvrload,TAB,NHVR / Load Tab,true,true,11,true,,,,
rc-insp-vehicleaccess,INSPECTOR,vehicleaccess,HOME_TILE,Vehicle Access,false,false,9,true,,,,
rc-insp-routeassessment,INSPECTOR,routeassessment,HOME_TILE,Route Assessment,false,false,10,true,,,,
rc-insp-inspections-tile,INSPECTOR,inspections,HOME_TILE,Inspections Tile,true,true,11,true,,,,
rc-insp-defects-tile,INSPECTOR,defects,HOME_TILE,Defects Tile,true,true,12,true,,,,
rc-insp-restrictiontypes,INSPECTOR,restrictionTypes,HOME_TILE,Restriction Types,false,false,13,true,,,,
rc-insp-vehicletypes,INSPECTOR,vehicletypes,HOME_TILE,Vehicle Types,false,false,14,true,,,,
rc-insp-risk-tab,INSPECTOR,risk,TAB,Risk Assessment Tab,true,false,9,true,,,,
rc-insp-investment-tab,INSPECTOR,investment,TAB,Investment Plan Tab,false,false,10,true,,,,
rc-insp-nhvrload-tab,INSPECTOR,nhvrload,TAB,NHVR / Load Tab,true,false,11,true,,,,
rc-op-vehicleaccess,OPERATOR,vehicleaccess,HOME_TILE,Vehicle Access,true,false,9,true,,,,
rc-op-routeassessment,OPERATOR,routeassessment,HOME_TILE,Route Assessment,true,false,10,true,,,,
rc-op-inspections-tile,OPERATOR,inspections,HOME_TILE,Inspections Tile,false,false,11,true,,,,
rc-op-defects-tile,OPERATOR,defects,HOME_TILE,Defects Tile,false,false,12,true,,,,
rc-op-restrictiontypes,OPERATOR,restrictionTypes,HOME_TILE,Restriction Types,false,false,13,true,,,,
rc-op-vehicletypes,OPERATOR,vehicletypes,HOME_TILE,Vehicle Types,false,false,14,true,,,,
rc-op-risk-tab,OPERATOR,risk,TAB,Risk Assessment Tab,false,false,9,true,,,,
rc-op-investment-tab,OPERATOR,investment,TAB,Investment Plan Tab,false,false,10,true,,,,
rc-op-nhvrload-tab,OPERATOR,nhvrload,TAB,NHVR / Load Tab,true,false,11,true,,,,
rc-ro-vehicleaccess,READ_ONLY,vehicleaccess,HOME_TILE,Vehicle Access,true,false,9,true,,,,
rc-ro-routeassessment,READ_ONLY,routeassessment,HOME_TILE,Route Assessment,true,false,10,true,,,,
rc-ro-inspections-tile,READ_ONLY,inspections,HOME_TILE,Inspections Tile,false,false,11,true,,,,
rc-ro-defects-tile,READ_ONLY,defects,HOME_TILE,Defects Tile,false,false,12,true,,,,
rc-ro-restrictiontypes,READ_ONLY,restrictionTypes,HOME_TILE,Restriction Types,false,false,13,true,,,,
rc-ro-vehicletypes,READ_ONLY,vehicletypes,HOME_TILE,Vehicle Types,false,false,14,true,,,,
rc-ro-risk-tab,READ_ONLY,risk,TAB,Risk Assessment Tab,true,false,9,true,,,,
rc-ro-investment-tab,READ_ONLY,investment,TAB,Investment Plan Tab,false,false,10,true,,,,
rc-ro-nhvrload-tab,READ_ONLY,nhvrload,TAB,NHVR / Load Tab,true,false,11,true,,,,
rc-admin-bridgeiq,ADMIN,bridgeiq,HOME_TILE,BridgeIQ,true,true,20,true,,,,
rc-admin-vehiclePermits,ADMIN,vehiclePermits,HOME_TILE,Vehicle Permits,true,true,21,true,,,,
rc-admin-capacityReports,ADMIN,capacityReports,HOME_TILE,Capacity Reports,true,true,22,true,,,,
rc-admin-bridgeMap,ADMIN,bridgeMap,HOME_TILE,Bridge Map,true,true,23,true,,,,
rc-admin-recordInspection,ADMIN,recordInspection,HOME_TILE,Record Inspection,true,true,24,true,,,,
rc-admin-freightCorridors,ADMIN,freightCorridors,HOME_TILE,Freight Corridors,true,true,25,true,,,,
rc-admin-integrationHub,ADMIN,integrationHub,HOME_TILE,Integration Hub,true,true,26,true,,,,
rc-admin-licenseConfig,ADMIN,licenseConfig,HOME_TILE,License Config,true,true,27,true,,,,
rc-admin-newInspOrder,ADMIN,newInspectionOrder,ACTION,New Inspection Order,true,true,5,true,,,,
rc-admin-raiseDefect,ADMIN,raiseDefect,ACTION,Raise Defect,true,true,6,true,,,,
rc-admin-changeCondition,ADMIN,changeCondition,ACTION,Report Condition,true,true,7,true,,,,
rc-admin-routePlanner,ADMIN,routePlanner,HOME_TILE,Route Planner,true,true,28,true,,,,
rc-mgr-bridgeiq,BRIDGE_MANAGER,bridgeiq,HOME_TILE,BridgeIQ,true,false,20,true,,,,
rc-mgr-vehiclePermits,BRIDGE_MANAGER,vehiclePermits,HOME_TILE,Vehicle Permits,true,true,21,true,,,,
rc-mgr-capacityReports,BRIDGE_MANAGER,capacityReports,HOME_TILE,Capacity Reports,true,false,22,true,,,,
rc-mgr-bridgeMap,BRIDGE_MANAGER,bridgeMap,HOME_TILE,Bridge Map,true,false,23,true,,,,
rc-mgr-recordInspection,BRIDGE_MANAGER,recordInspection,HOME_TILE,Record Inspection,true,true,24,true,,,,
rc-mgr-freightCorridors,BRIDGE_MANAGER,freightCorridors,HOME_TILE,Freight Corridors,true,false,25,true,,,,
rc-mgr-integrationHub,BRIDGE_MANAGER,integrationHub,HOME_TILE,Integration Hub,false,false,26,true,,,,
rc-mgr-licenseConfig,BRIDGE_MANAGER,licenseConfig,HOME_TILE,License Config,false,false,27,true,,,,
rc-mgr-newInspOrder,BRIDGE_MANAGER,newInspectionOrder,ACTION,New Inspection Order,true,true,5,true,,,,
rc-mgr-raiseDefect,BRIDGE_MANAGER,raiseDefect,ACTION,Raise Defect,true,true,6,true,,,,
rc-mgr-changeCondition,BRIDGE_MANAGER,changeCondition,ACTION,Report Condition,true,true,7,true,,,,
rc-mgr-routePlanner,BRIDGE_MANAGER,routePlanner,HOME_TILE,Route Planner,true,true,28,true,,,,
rc-insp-bridgeiq,INSPECTOR,bridgeiq,HOME_TILE,BridgeIQ,false,false,20,true,,,,
rc-insp-vehiclePermits,INSPECTOR,vehiclePermits,HOME_TILE,Vehicle Permits,false,false,21,true,,,,
rc-insp-capacityReports,INSPECTOR,capacityReports,HOME_TILE,Capacity Reports,false,false,22,true,,,,
rc-insp-bridgeMap,INSPECTOR,bridgeMap,HOME_TILE,Bridge Map,true,false,23,true,,,,
rc-insp-recordInspection,INSPECTOR,recordInspection,HOME_TILE,Record Inspection,true,true,24,true,,,,
rc-insp-freightCorridors,INSPECTOR,freightCorridors,HOME_TILE,Freight Corridors,false,false,25,true,,,,
rc-insp-integrationHub,INSPECTOR,integrationHub,HOME_TILE,Integration Hub,false,false,26,true,,,,
rc-insp-licenseConfig,INSPECTOR,licenseConfig,HOME_TILE,License Config,false,false,27,true,,,,
rc-insp-newInspOrder,INSPECTOR,newInspectionOrder,ACTION,New Inspection Order,true,true,5,true,,,,
rc-insp-raiseDefect,INSPECTOR,raiseDefect,ACTION,Raise Defect,true,true,6,true,,,,
rc-insp-changeCondition,INSPECTOR,changeCondition,ACTION,Report Condition,false,false,7,true,,,,
rc-insp-routePlanner,INSPECTOR,routePlanner,HOME_TILE,Route Planner,false,false,28,true,,,,
rc-op-bridgeiq,OPERATOR,bridgeiq,HOME_TILE,BridgeIQ,false,false,20,true,,,,
rc-op-vehiclePermits,OPERATOR,vehiclePermits,HOME_TILE,Vehicle Permits,true,true,21,true,,,,
rc-op-capacityReports,OPERATOR,capacityReports,HOME_TILE,Capacity Reports,false,false,22,true,,,,
rc-op-bridgeMap,OPERATOR,bridgeMap,HOME_TILE,Bridge Map,true,false,23,true,,,,
rc-op-recordInspection,OPERATOR,recordInspection,HOME_TILE,Record Inspection,false,false,24,true,,,,
rc-op-freightCorridors,OPERATOR,freightCorridors,HOME_TILE,Freight Corridors,true,false,25,true,,,,
rc-op-integrationHub,OPERATOR,integrationHub,HOME_TILE,Integration Hub,false,false,26,true,,,,
rc-op-licenseConfig,OPERATOR,licenseConfig,HOME_TILE,License Config,false,false,27,true,,,,
rc-op-newInspOrder,OPERATOR,newInspectionOrder,ACTION,New Inspection Order,false,false,5,true,,,,
rc-op-raiseDefect,OPERATOR,raiseDefect,ACTION,Raise Defect,false,false,6,true,,,,
rc-op-changeCondition,OPERATOR,changeCondition,ACTION,Report Condition,false,false,7,true,,,,
rc-op-routePlanner,OPERATOR,routePlanner,HOME_TILE,Route Planner,true,true,28,true,,,,
rc-ro-bridgeiq,READ_ONLY,bridgeiq,HOME_TILE,BridgeIQ,false,false,20,true,,,,
rc-ro-vehiclePermits,READ_ONLY,vehiclePermits,HOME_TILE,Vehicle Permits,false,false,21,true,,,,
rc-ro-capacityReports,READ_ONLY,capacityReports,HOME_TILE,Capacity Reports,false,false,22,true,,,,
rc-ro-bridgeMap,READ_ONLY,bridgeMap,HOME_TILE,Bridge Map,true,false,23,true,,,,
rc-ro-recordInspection,READ_ONLY,recordInspection,HOME_TILE,Record Inspection,false,false,24,true,,,,
rc-ro-freightCorridors,READ_ONLY,freightCorridors,HOME_TILE,Freight Corridors,false,false,25,true,,,,
rc-ro-integrationHub,READ_ONLY,integrationHub,HOME_TILE,Integration Hub,false,false,26,true,,,,
rc-ro-licenseConfig,READ_ONLY,licenseConfig,HOME_TILE,License Config,false,false,27,true,,,,
rc-ro-newInspOrder,READ_ONLY,newInspectionOrder,ACTION,New Inspection Order,false,false,5,true,,,,
rc-ro-raiseDefect,READ_ONLY,raiseDefect,ACTION,Raise Defect,false,false,6,true,,,,
rc-ro-changeCondition,READ_ONLY,changeCondition,ACTION,Report Condition,false,false,7,true,,,,
rc-ro-routePlanner,READ_ONLY,routePlanner,HOME_TILE,Route Planner,false,false,28,true,,,,
rc-ro-fld-bridge-lat,READ_ONLY,field:bridge.latitude,FIELD,Bridge Latitude,true,false,1,true,bridge.latitude,true,false,false
rc-ro-fld-bridge-lng,READ_ONLY,field:bridge.longitude,FIELD,Bridge Longitude,true,false,2,true,bridge.longitude,true,false,false
rc-ro-fld-bridge-name,READ_ONLY,field:bridge.name,FIELD,Bridge Name,true,false,3,true,bridge.name,true,false,false
rc-ro-fld-permit-gvm,READ_ONLY,field:permit.gvm,FIELD,Permit GVM,true,false,4,true,permit.gvm,true,false,false
rc-ro-fld-permit-gcm,READ_ONLY,field:permit.gcm,FIELD,Permit GCM,true,false,5,true,permit.gcm,true,false,false
rc-ro-fld-defect-cost,READ_ONLY,field:defect.wo.estCost,FIELD,WO Est Cost,true,false,6,true,defect.wo.estCost,true,false,false
rc-insp-fld-bridge-lat,INSPECTOR,field:bridge.latitude,FIELD,Bridge Latitude,true,false,1,true,bridge.latitude,true,false,false
rc-insp-fld-bridge-lng,INSPECTOR,field:bridge.longitude,FIELD,Bridge Longitude,true,false,2,true,bridge.longitude,true,false,false
rc-insp-fld-bridge-class,INSPECTOR,field:bridge.assetClass,FIELD,Bridge Asset Class,true,false,3,true,bridge.assetClass,true,false,false
rc-op-fld-bridge-lat,OPERATOR,field:bridge.latitude,FIELD,Bridge Latitude,true,false,1,true,bridge.latitude,true,false,false
rc-op-fld-bridge-lng,OPERATOR,field:bridge.longitude,FIELD,Bridge Longitude,true,false,2,true,bridge.longitude,true,false,false
rc-op-fld-bridge-class,OPERATOR,field:bridge.assetClass,FIELD,Bridge Asset Class,true,false,3,true,bridge.assetClass,true,false,false
rc-admin-analyticsMap,ADMIN,analyticsMap,HOME_TILE,Analytics Map View,true,true,29,true,,,,
rc-mgr-analyticsMap,BRIDGE_MANAGER,analyticsMap,HOME_TILE,Analytics Map View,true,false,29,true,,,,
rc-insp-analyticsMap,INSPECTOR,analyticsMap,HOME_TILE,Analytics Map View,true,false,29,true,,,,
rc-op-analyticsMap,OPERATOR,analyticsMap,HOME_TILE,Analytics Map View,true,false,29,true,,,,
rc-ro-analyticsMap,READ_ONLY,analyticsMap,HOME_TILE,Analytics Map View,true,false,29,true,,,,
