ID,tenant_ID,capabilityCode,role,canView,canEdit,canAdmin,notes
rc-nhvr-upload-bm,t-nhvr-national,MASS_UPLOAD,BRIDGE_MANAGER,true,true,false,
rc-nhvr-admin-admin,t-nhvr-national,ADMIN_CONFIG,ADMIN,true,true,true,
rc-nhvr-integ-admin,t-nhvr-national,INTEGRATION_HUB,ADMIN,true,true,true,
rc-nhvr-iq-admin,t-nhvr-national,BRIDGE_IQ,ADMIN,true,true,true,
rc-nhvr-iq-exec,t-nhvr-national,BRIDGE_IQ,READ_ONLY,true,false,false,
rc-nhvr-permits-admin,t-nhvr-national,PERMITS,ADMIN,true,true,true,
rc-nhvr-permits-bm,t-nhvr-national,PERMITS,BRIDGE_MANAGER,true,true,false,
rc-nhvr-permits-op,t-nhvr-national,PERMITS,OPERATOR,true,true,false,
rc-nhvr-permits-ro,t-nhvr-national,PERMITS,READ_ONLY,true,false,false,
rc-nhvr-route-admin,t-nhvr-national,ROUTE_ASSESSMENT,ADMIN,true,true,true,
rc-nhvr-route-bm,t-nhvr-national,ROUTE_ASSESSMENT,BRIDGE_MANAGER,true,true,false,
rc-nhvr-route-op,t-nhvr-national,ROUTE_ASSESSMENT,OPERATOR,true,true,false,
rc-nhvr-route-ro,t-nhvr-national,ROUTE_ASSESSMENT,READ_ONLY,true,false,false,
rc-nhvr-reports-admin,t-nhvr-national,REPORTS,ADMIN,true,true,true,
rc-nhvr-reports-bm,t-nhvr-national,REPORTS,BRIDGE_MANAGER,true,false,false,
rc-nhvr-reports-insp,t-nhvr-national,REPORTS,INSPECTOR,true,false,false,
rc-nhvr-reports-ro,t-nhvr-national,REPORTS,READ_ONLY,true,false,false,
rc-nhvr-exec-admin,t-nhvr-national,EXECUTIVE_DASHBOARD,ADMIN,true,true,true,
rc-nhvr-exec-bm,t-nhvr-national,EXECUTIVE_DASHBOARD,BRIDGE_MANAGER,true,false,false,
rc-nhvr-exec-ro,t-nhvr-national,EXECUTIVE_DASHBOARD,READ_ONLY,true,false,false,
rc-nhvr-cap-admin,t-nhvr-national,CAPACITY_RATINGS,ADMIN,true,true,true,
rc-nhvr-cap-bm,t-nhvr-national,CAPACITY_RATINGS,BRIDGE_MANAGER,true,true,false,
rc-nhvr-cap-insp,t-nhvr-national,CAPACITY_RATINGS,INSPECTOR,true,false,false,
rc-nhvr-massedit-admin,t-nhvr-national,MASS_EDIT,ADMIN,true,true,true,
rc-nhvr-massedit-bm,t-nhvr-national,MASS_EDIT,BRIDGE_MANAGER,true,true,false,
rc-nhvr-freight-admin,t-nhvr-national,FREIGHT_ROUTES,ADMIN,true,true,true,
rc-nhvr-freight-bm,t-nhvr-national,FREIGHT_ROUTES,BRIDGE_MANAGER,true,false,false,
rc-nhvr-freight-op,t-nhvr-national,FREIGHT_ROUTES,OPERATOR,true,false,false,
rc-nhvr-freight-ro,t-nhvr-national,FREIGHT_ROUTES,READ_ONLY,true,false,false,
rc-nhvr-veh-admin,t-nhvr-national,VEHICLE_COMBINATIONS,ADMIN,true,true,true,
rc-nhvr-veh-bm,t-nhvr-national,VEHICLE_COMBINATIONS,BRIDGE_MANAGER,true,false,false,
rc-nhvr-veh-op,t-nhvr-national,VEHICLE_COMBINATIONS,OPERATOR,true,false,false,
rc-nhvr-veh-ro,t-nhvr-national,VEHICLE_COMBINATIONS,READ_ONLY,true,false,false,
rc-nhvr-wo-admin,t-nhvr-national,WORK_ORDERS,ADMIN,true,true,true,
rc-nhvr-wo-bm,t-nhvr-national,WORK_ORDERS,BRIDGE_MANAGER,true,true,false,
