bridge_id,bridge_name,lga,region,state,road_route,route_number,asset_owner,maintenance_authority,condition,condition_rating,posting_status,structure_type,material,clearance_height_m,main_span_m,total_length_m,width_m,no_of_spans,no_of_lanes,latitude,longitude,nhvr_route_assessed,over_mass_route,gazette_reference,aadt,freight_route,flood_impacted,scour_risk,seismic_zone,data_source,source_url,last_updated,data_confidence,notes
NSW_BR_0011,Batemans Bay Bridge,Eurobodalla Shire Council,South East,NSW,Princes Highway,A1,Transport for NSW,Transport for NSW,Poor,3,Load Limited,Steel Plate Girder,Steel,4.8,60,390,10,9,2,-35.707,150.174,true,false,NSW Gazette 2022-007,14000,false,false,Medium,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-06-01,Sourced,Replacement planned; load limits applied due to deck deterioration
NSW_BR_0012,Wagga Wagga Bridge,Wagga Wagga City Council,Riverina,NSW,Olympic Highway,B94,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Prestressed Concrete Girder,Concrete,5.5,58,198,12,4,2,-35.1082,147.3598,true,true,NSW Gazette 2021-019,21000,true,true,High,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-04-05,Sourced,Murrumbidgee River crossing; flood event 2022 recorded
NSW_BR_0013,Albury Bridge,Albury City Council,Riverina,NSW,Hume Highway,A79,Transport for NSW,Transport for NSW,Good,8,Unrestricted,Prestressed Concrete Girder,Concrete,5.8,65,220,14,4,4,-36.0805,146.9108,true,true,NSW Gazette 2020-042,28000,true,false,Medium,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-04-15,Sourced,Murray River crossing on Hume Highway; interstate freight route
NSW_BR_0014,Dubbo Bridge,Dubbo Regional Council,Central West,NSW,Mitchell Highway,A32,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Prestressed Concrete Girder,Concrete,5.5,55,175,12,4,2,-32.2569,148.6011,true,true,NSW Gazette 2019-087,16000,true,true,Medium,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-03-28,Sourced,Macquarie River crossing; agricultural freight corridor
NSW_BR_0015,Tamworth Bridge,Tamworth Regional Council,New England,NSW,New England Highway,A15,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Prestressed Concrete Girder,Concrete,5.2,48,155,12,4,2,-31.0927,150.932,true,true,NSW Gazette 2018-053,19000,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-02-20,Sourced,Peel River crossing at Tamworth; freight route to QLD
NSW_BR_0016,Hexham Bridge,Maitland City Council,Hunter,NSW,Pacific Highway,A1,Transport for NSW,Transport for NSW,Good,8,Unrestricted,Prestressed Concrete Girder,Concrete,6.2,72,260,16,5,4,-32.844,151.7,true,true,NSW Gazette 2021-066,42000,true,false,Medium,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-05-20,Sourced,Hunter River crossing on Pacific Highway; major freight route
NSW_BR_0017,Ryde Bridge,Ryde City Council,Sydney Metro,NSW,Pymble Avenue,B92,Transport for NSW,Transport for NSW,Good,8,Unrestricted,Concrete Box Girder,Concrete,5.8,62,198,16,4,4,-33.8158,151.1005,true,false,NSW Gazette 2020-014,41000,false,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-04-22,Sourced,Lane Cove River crossing at Ryde
NSW_BR_0018,Tom Uglys Bridge,Sutherland Shire Council,Sydney Metro,NSW,Princes Highway,A1,Transport for NSW,Transport for NSW,Fair,6,Unrestricted,Steel Truss,Steel,5.5,120,410,14,5,4,-34.027,151.121,true,false,NSW Gazette 2016-039,36000,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-03-15,Sourced,Georges River crossing; heritage steel truss; dual bridge
NSW_BR_0019,Wollongong Flyover Bridge,Wollongong City Council,Illawarra,NSW,Princes Motorway,M1,Transport for NSW,Transport for NSW,Good,8,Unrestricted,Prestressed Concrete Girder,Concrete,6.5,55,185,20,4,4,-34.433,150.878,true,true,NSW Gazette 2021-055,49000,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-05-05,Sourced,Motorway overpass at Wollongong; good condition
NSW_BR_0020,Maitland Bridge,Maitland City Council,Hunter,NSW,New England Highway,A15,Transport for NSW,Transport for NSW,Fair,5,Posted,Steel Plate Girder,Steel,4.8,85,320,10,5,2,-32.7319,151.554,true,false,NSW Gazette 2017-028,15000,true,true,High,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-03-01,Sourced,Hunter River crossing; flood-affected; aging steel structure
NSW_BR_0021,Singleton Bridge,Singleton Council,Hunter,NSW,New England Highway,A15,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Prestressed Concrete Girder,Concrete,5.5,52,165,12,4,2,-32.566,151.169,true,true,NSW Gazette 2019-041,12000,true,false,Medium,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-02-10,Sourced,Hunter River crossing near Singleton; mining region
NSW_BR_0022,Muswellbrook Bridge,Muswellbrook Shire Council,Hunter,NSW,New England Highway,A15,Transport for NSW,Transport for NSW,Good,8,Unrestricted,Prestressed Concrete Girder,Concrete,5.2,45,140,12,3,2,-32.264,150.892,true,true,NSW Gazette 2018-072,10500,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-01-25,Sourced,Hunter Valley coal region; good structural condition
NSW_BR_0023,Cessnock Bridge,Cessnock City Council,Hunter,NSW,Cessnock Road,B63,Local Council,Local Council,Fair,5,Posted,Concrete Slab,Concrete,4.6,28,62,8,2,2,-32.834,151.357,false,false,,6200,false,true,Medium,1,NSW Spatial SEED,https://portal.seed.nsw.gov.au/SeedMap/,2023-11-14,Inferred,Local council bridge; modest traffic load; posted for HML
NSW_BR_0024,Armidale Bridge,Armidale Regional Council,New England,NSW,New England Highway,A15,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Prestressed Concrete Girder,Concrete,5.2,42,130,12,3,2,-30.513,151.668,true,true,NSW Gazette 2019-055,9500,true,false,Low,2,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-02-28,Sourced,New England Tablelands; dry climate; good condition
NSW_BR_0025,Inverell Bridge,Inverell Shire Council,New England,NSW,Gwydir Highway,A39,Transport for NSW,Transport for NSW,Fair,6,Unrestricted,Steel Plate Girder,Steel,5,58,182,10,4,2,-29.772,151.114,true,false,NSW Gazette 2016-091,7800,true,true,Medium,2,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2023-12-10,Sourced,Macintyre River crossing; sapphire mining region
NSW_BR_0026,Glen Innes Bridge,Glen Innes Severn Council,New England,NSW,New England Highway,A15,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Prestressed Concrete Girder,Concrete,5,40,120,10,3,2,-29.734,151.735,true,false,NSW Gazette 2018-044,6500,true,false,Low,2,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2023-11-22,Sourced,Mann River crossing at Glen Innes
NSW_BR_0027,Tenterfield Creek Bridge,Tenterfield Shire Council,New England,NSW,New England Highway,A15,Transport for NSW,Transport for NSW,Good,8,Unrestricted,Concrete Slab,Concrete,4.8,22,58,10,3,2,-29.062,152.021,true,false,,5500,true,false,Low,2,NSW Spatial SEED,https://portal.seed.nsw.gov.au/SeedMap/,2023-10-18,Inferred,Border town crossing; near QLD border
NSW_BR_0028,Narrabri Bridge,Narrabri Shire Council,North West,NSW,Newell Highway,A39,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Prestressed Concrete Girder,Concrete,5.5,50,155,12,3,2,-30.323,149.784,true,true,NSW Gazette 2020-061,8200,true,true,Medium,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-01-15,Sourced,Namoi River crossing; cotton farming region
NSW_BR_0029,Moree Bridge,Moree Plains Shire Council,North West,NSW,Newell Highway,A39,Transport for NSW,Transport for NSW,Fair,6,Unrestricted,Steel Plate Girder,Steel,5,62,195,10,4,2,-29.465,149.838,true,true,NSW Gazette 2017-052,7100,true,true,High,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-01-08,Sourced,Gwydir River crossing; flood plain; artesian bore spa region
NSW_BR_0030,Walgett Bridge,Walgett Shire Council,North West,NSW,Castlereagh Highway,A33,Transport for NSW,Transport for NSW,Poor,3,Load Limited,Timber Girder,Timber,4.2,18,78,6,5,1,-30.014,148.115,false,false,NSW Gazette 2021-102,1800,false,true,High,1,NSW Spatial SEED,https://portal.seed.nsw.gov.au/SeedMap/,2023-09-05,Inferred,Old timber structure; load limited; replacement scheduled
NSW_BR_0031,Bourke Bridge,Bourke Shire Council,Western NSW,NSW,Mitchell Highway,A32,Transport for NSW,Transport for NSW,Fair,5,Posted,Steel Plate Girder,Steel,5,72,245,8,4,2,-30.093,145.938,true,false,NSW Gazette 2016-078,3500,true,true,High,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2023-10-22,Sourced,Darling River crossing; remote western NSW; flood risk
NSW_BR_0032,Cobar Bridge,Cobar Shire Council,Western NSW,NSW,Barrier Highway,A32,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Prestressed Concrete Girder,Concrete,5.2,38,112,10,3,2,-31.499,145.839,true,true,NSW Gazette 2019-073,4200,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2023-12-05,Sourced,Bogan River crossing; mining region; over-mass route
NSW_BR_0033,Broken Hill Bridge,Broken Hill City Council,Western NSW,NSW,Barrier Highway,A32,Transport for NSW,Transport for NSW,Fair,6,Unrestricted,Concrete Slab,Concrete,4.8,24,68,10,3,2,-31.9531,141.454,true,true,NSW Gazette 2018-088,3800,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2023-11-28,Sourced,Remote far-west NSW; mining trucks route
NSW_BR_0034,Griffith Bridge,Griffith City Council,Riverina,NSW,Kidman Way,B55,Transport for NSW,Transport for NSW,Good,8,Unrestricted,Prestressed Concrete Girder,Concrete,5.2,44,138,12,3,2,-34.29,146.039,true,true,NSW Gazette 2020-077,9800,true,true,Medium,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-01-30,Sourced,Murrumbidgee Irrigation Area; agricultural freight
NSW_BR_0035,Narrandera Bridge,Narrandera Shire Council,Riverina,NSW,Newell Highway,A39,Transport for NSW,Transport for NSW,Fair,6,Unrestricted,Steel Plate Girder,Steel,5,58,188,10,4,2,-34.745,146.552,true,false,NSW Gazette 2017-035,6400,true,true,High,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2023-12-18,Sourced,Murrumbidgee River crossing; flood plain
NSW_BR_0036,Young Bridge,Hilltops Council,Riverina,NSW,Olympic Highway,B94,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Prestressed Concrete Girder,Concrete,5,36,108,10,3,2,-34.31,148.296,true,false,NSW Gazette 2019-028,7200,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2023-12-01,Sourced,Burrangong Creek crossing; cherry orchards region
NSW_BR_0037,Cootamundra Bridge,Cootamundra-Gundagai Regional Council,Riverina,NSW,Hume Highway,A79,Transport for NSW,Transport for NSW,Good,8,Unrestricted,Prestressed Concrete Girder,Concrete,5.2,42,128,12,3,4,-34.639,148.026,true,true,NSW Gazette 2020-048,11000,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-01-12,Sourced,Hume Highway; interstate freight corridor
NSW_BR_0038,Gundagai Bridge,Cootamundra-Gundagai Regional Council,Riverina,NSW,Hume Highway,A79,Transport for NSW,Transport for NSW,Fair,5,Posted,Steel Truss,Steel,4.8,92,334,8,5,2,-35.062,148.104,true,false,NSW Gazette 2015-082,5200,true,true,High,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2023-11-10,Sourced,Historic Murrumbidgee crossing; posted for HML; flood risk
NSW_BR_0039,Tumut River Bridge,Snowy Valleys Council,Riverina,NSW,Snowy Mountains Highway,B72,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Prestressed Concrete Girder,Concrete,5.5,48,148,10,3,2,-35.299,148.226,false,false,,5800,false,false,Medium,1,NSW Spatial SEED,https://portal.seed.nsw.gov.au/SeedMap/,2023-10-05,Inferred,Tumut River crossing; Snowy Hydro region
NSW_BR_0040,Queanbeyan Bridge,Queanbeyan-Palerang Regional Council,South East,NSW,Kings Highway,B52,Transport for NSW,Transport for NSW,Good,8,Unrestricted,Prestressed Concrete Girder,Concrete,5.2,45,140,14,3,4,-35.354,149.234,true,false,NSW Gazette 2021-043,22000,false,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-03-05,Sourced,Queanbeyan River crossing; proximity to ACT
NSW_BR_0041,Cooma Bridge,Snowy Monaro Regional Council,South East,NSW,Monaro Highway,A23,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Prestressed Concrete Girder,Concrete,5,38,115,10,3,2,-36.237,149.125,true,false,NSW Gazette 2018-059,8500,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2023-12-22,Sourced,Snowy Mountains gateway; alpine region
NSW_BR_0042,Bermagui Bridge,Bega Valley Shire Council,South East,NSW,Bermagui Road,C241,Local Council,Local Council,Fair,5,Posted,Timber Girder,Timber,4,16,48,6,3,1,-36.422,150.068,false,false,,2100,false,false,Medium,1,NSW Spatial SEED,https://portal.seed.nsw.gov.au/SeedMap/,2023-08-14,Estimated,Coastal timber bridge; tourist traffic; condition estimated from aerial
NSW_BR_0043,Merimbula Bridge,Bega Valley Shire Council,South East,NSW,Princes Highway,A1,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Concrete Slab,Concrete,4.8,30,92,10,3,2,-36.896,149.902,true,false,NSW Gazette 2019-060,6400,false,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2023-11-05,Sourced,Coastal holiday town; estuary crossing
NSW_BR_0044,Kiama Bridge,Kiama Municipal Council,Illawarra,NSW,Princes Highway,A1,Transport for NSW,Transport for NSW,Good,8,Unrestricted,Prestressed Concrete Girder,Concrete,5,38,118,12,3,2,-34.671,150.854,true,false,NSW Gazette 2020-033,12500,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-02-08,Sourced,Illawarra coast; tourist and freight route
NSW_BR_0045,Berry Creek Bridge,Shoalhaven City Council,South East,NSW,Princes Highway,A1,Transport for NSW,Transport for NSW,Fair,6,Unrestricted,Concrete Slab,Concrete,4.8,26,72,10,3,2,-34.774,150.699,true,false,,9800,true,false,Low,1,NSW Spatial SEED,https://portal.seed.nsw.gov.au/SeedMap/,2023-10-28,Inferred,Small creek crossing; average condition
NSW_BR_0046,Orange Bridge,Orange City Council,Central West,NSW,Mitchell Highway,A32,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Prestressed Concrete Girder,Concrete,5.2,46,142,12,3,2,-33.2839,149.099,true,true,NSW Gazette 2019-065,14500,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-01-18,Sourced,Canobolas Creek crossing; agricultural region
NSW_BR_0047,Bathurst Bridge,Bathurst Regional Council,Central West,NSW,Mitchell Highway,A32,Transport for NSW,Transport for NSW,Good,8,Unrestricted,Prestressed Concrete Girder,Concrete,5.2,50,155,14,3,2,-33.416,149.576,true,true,NSW Gazette 2020-058,18000,true,false,Medium,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-02-05,Sourced,Macquarie River crossing at Bathurst; good condition
NSW_BR_0048,Lithgow Viaduct,Lithgow City Council,Central West,NSW,Great Western Highway,A32,Transport for NSW,Transport for NSW,Fair,6,Unrestricted,Reinforced Concrete Arch,Concrete,6,60,195,10,5,2,-33.483,150.157,true,false,NSW Gazette 2017-070,11000,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2023-12-15,Sourced,Heritage listed concrete arch; Blue Mountains descent
NSW_BR_0049,Parkes Bridge,Parkes Shire Council,Central West,NSW,Newell Highway,A39,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Prestressed Concrete Girder,Concrete,5.2,44,138,12,3,2,-33.139,148.173,true,true,NSW Gazette 2019-082,8900,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-01-05,Sourced,Lachlan River crossing; radio telescope region
NSW_BR_0050,Forbes Bridge,Forbes Shire Council,Central West,NSW,Newell Highway,A39,Transport for NSW,Transport for NSW,Fair,6,Unrestricted,Steel Plate Girder,Steel,5,55,178,10,4,2,-33.385,148.017,true,false,NSW Gazette 2016-052,6700,true,true,Medium,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2023-11-20,Sourced,Lachlan River crossing; flood risk noted
NSW_BR_0051,Coffs Harbour Bridge,Coffs Harbour City Council,North Coast,NSW,Pacific Highway,A1,Transport for NSW,Transport for NSW,Good,8,Unrestricted,Prestressed Concrete Girder,Concrete,5.5,52,165,14,4,4,-30.2963,153.1157,true,true,NSW Gazette 2021-058,35000,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-04-12,Sourced,Orara River crossing; dual carriageway bypass
NSW_BR_0052,Woolgoolga Bridge,Coffs Harbour City Council,North Coast,NSW,Pacific Highway,A1,Transport for NSW,Transport for NSW,Good,9,Unrestricted,Prestressed Concrete Girder,Concrete,5.8,48,152,16,3,4,-30.112,153.2,true,true,NSW Gazette 2022-014,28000,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-05-18,Sourced,New Pacific Highway bypass; opened 2020; excellent condition
NSW_BR_0053,Ballina Bridge,Ballina Shire Council,North Coast,NSW,Pacific Highway,A1,Transport for NSW,Transport for NSW,Good,8,Unrestricted,Prestressed Concrete Girder,Concrete,5.5,58,192,16,4,4,-28.868,153.56,true,true,NSW Gazette 2021-072,26000,true,false,Medium,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-04-28,Sourced,Richmond River crossing; north coast freight
NSW_BR_0054,Lismore Bridge,Lismore City Council,North Coast,NSW,Bruxner Highway,A89,Transport for NSW,Transport for NSW,Poor,3,Load Limited,Steel Plate Girder,Steel,4.5,68,225,9,5,2,-28.8139,153.277,false,false,NSW Gazette 2022-118,14500,false,true,High,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-06-02,Sourced,Wilson River; major flood damage Feb 2022; load restricted
NSW_BR_0055,Byron Bay Creek Bridge,Byron Shire Council,North Coast,NSW,Pacific Highway,A1,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Concrete Slab,Concrete,5,28,85,14,3,4,-28.644,153.598,true,false,,18000,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-03-20,Sourced,Near Byron Bay; tourist and freight corridor
NSW_BR_0056,Tweed River Bridge,Tweed Shire Council,North Coast,NSW,Pacific Motorway,M1,Transport for NSW,Transport for NSW,Good,9,Unrestricted,Prestressed Concrete Girder,Concrete,6,65,210,22,4,6,-28.178,153.482,true,true,NSW Gazette 2020-094,62000,true,false,Medium,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-05-22,Sourced,M1 motorway; NSW/QLD border gateway
NSW_BR_0057,Port Macquarie Bridge,Port Macquarie-Hastings Council,North Coast,NSW,Pacific Highway,A1,Transport for NSW,Transport for NSW,Good,8,Unrestricted,Prestressed Concrete Girder,Concrete,5.5,56,178,14,4,4,-31.4307,152.9085,true,true,NSW Gazette 2021-039,30000,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-04-08,Sourced,Hastings River; mid-north coast tourism hub
NSW_BR_0058,Taree Bridge,MidCoast Council,North Coast,NSW,Pacific Highway,A1,Transport for NSW,Transport for NSW,Fair,6,Unrestricted,Steel Plate Girder,Steel,5,78,265,10,5,2,-31.905,152.459,true,false,NSW Gazette 2016-085,16500,true,true,High,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-02-25,Sourced,Manning River; flood plain; aging structure
NSW_BR_0059,Forster Bridge,MidCoast Council,North Coast,NSW,Lakes Way,B62,Transport for NSW,Transport for NSW,Good,8,Unrestricted,Concrete Box Girder,Concrete,5.8,44,138,12,3,2,-32.182,152.514,false,false,,8500,false,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-03-18,Sourced,Wallis Lake crossing; holiday destination
NSW_BR_0060,Bulahdelah Bridge,MidCoast Council,North Coast,NSW,Pacific Highway,A1,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Prestressed Concrete Girder,Concrete,5.2,42,130,16,3,4,-32.404,152.207,true,true,NSW Gazette 2021-025,24000,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-04-02,Sourced,Myall River; Pacific Highway bypass
NSW_BR_0061,Newcastle Inner Harbour Bridge,Newcastle City Council,Hunter,NSW,Hannell Street,B72,Transport for NSW,Transport for NSW,Good,8,Unrestricted,Steel Plate Girder,Steel,6.5,88,295,14,5,4,-32.927,151.777,true,false,NSW Gazette 2020-036,32000,false,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-03-28,Sourced,Inner harbour crossing; port precinct access
NSW_BR_0062,Gosford Bridge,Central Coast Council,Central Coast,NSW,Pacific Highway,A1,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Prestressed Concrete Girder,Concrete,5.5,52,165,14,4,4,-33.4295,151.341,true,false,NSW Gazette 2019-090,29000,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-04-15,Sourced,Brisbane Water crossing; Central Coast commuter route
